DELIVERY_ID,MESSAGE_ID,SOURCE_SYSTEM,TARGET_SYSTEM,STATUS,ERROR_MESSAGE,RETRY_COUNT,REPLAYABLE_FLAG,INCIDENT_NUMBER
2767272,MSG-8054450,EBS,BLUJAY,TRANSMITTED,,3,N,INC0985051
2773242,MSG-8060604,EBS,BLUJAY,TRANSMITTED,,2,N,
2751897,MSG-8033352,EBS,BLUJAY,TRANSMITTED,,0,N,
2775800,MSG-8009572,EBS,BLUJAY,TRANSMITTED,,0,N,
2708357,MSG-8070931,EBS,BLUJAY,FAILED,Endpoint timeout,0,Y,
2761875,MSG-8004159,EBS,BLUJAY,TRANSMITTED,,2,N,
2717750,MSG-8084085,EBS,BLUJAY,FAILED,Payload schema mismatch,3,Y,
2750132,MSG-8058790,EBS,BLUJAY,FAILED,Missing carrier mapping,3,Y,
2786742,MSG-8070687,EBS,BLUJAY,FAILED,Endpoint timeout,2,Y,
2770419,MSG-8051518,EBS,BLUJAY,FAILED,Payload schema mismatch,1,Y,
2729188,MSG-8000455,EBS,BLUJAY,TRANSMITTED,,0,N,
2760686,MSG-8088276,EBS,BLUJAY,TRANSMITTED,,4,N,
2749712,MSG-8030102,EBS,BLUJAY,FAILED,Endpoint timeout,3,Y,
2736129,MSG-8024704,EBS,BLUJAY,FAILED,Payload schema mismatch,0,Y,
2786533,MSG-8054950,EBS,BLUJAY,FAILED,Payload schema mismatch,0,Y,
