ORDER_NUMBER,LINE_NUMBER,ITEM_NUMBER,PO_NUMBER,ORDER_STATUS,PO_UNLINKED_FLAG,DATA_CORRUPTION_FLAG,SOURCE_SYSTEM,INCIDENT_NUMBER
140358,12.1,10080473,PO-4585979,OPEN,N,N,CLOUD2EBS_DROPSHIP,INC0899823
192793,7.1,10075284,PO-4570592,OPEN,N,N,CLOUD2EBS_DROPSHIP,INC0899829
203664,9.1,10078669,PO-4514316,OPEN,N,N,CLOUD2EBS_DROPSHIP,
161779,2.1,10078341P1,PO-4529579,CANCELLED,Y,N,CLOUD2EBS_DROPSHIP,
184172,11.1,10077577,PO-4513178,CANCELLED,N,Y,CLOUD2EBS_DROPSHIP,
202135,6.1,10077173,PO-4585575,CANCELLED,N,Y,CLOUD2EBS_DROPSHIP,
192580,7.1,10072992,PO-4542096,CANCELLED,Y,N,CLOUD2EBS_DROPSHIP,
137754,3.1,10080072,PO-4575252,OPEN,N,N,CLOUD2EBS_DROPSHIP,
134888,6.1,10077173,PO-4523040,OPEN,N,N,CLOUD2EBS_DROPSHIP,
182034,16.1,10078286,PO-4537941,CANCELLED,N,Y,CLOUD2EBS_DROPSHIP,
204443,20.1,10076238,PO-4543914,CANCELLED,N,Y,CLOUD2EBS_DROPSHIP,
214058,18.1,10078341P1,PO-4564738,OPEN,N,N,CLOUD2EBS_DROPSHIP,
196088,15.1,10078350,PO-4525272,CANCELLED,N,Y,CLOUD2EBS_DROPSHIP,
190150,9.1,10078286,PO-4501846,CANCELLED,N,Y,CLOUD2EBS_DROPSHIP,
204420,7.1,10078286,PO-4580079,CANCELLED,Y,N,CLOUD2EBS_DROPSHIP,
186059,17.1,10075310P1,PO-4511368,CANCELLED,Y,N,CLOUD2EBS_DROPSHIP,
