BUSINESS_IMPACT_THEME,INCIDENT_NUMBER,SHORT_DESCRIPTION,ASSIGNMENT_GROUP,OPENED_AT,CLOSED_AT,CLOSE_CODE,CLOSE_NOTES
Item MDM integration issue,INC0903771,"Hello, kindly provide the root cause and workaround for CO-1106016. Wanted to know if this is a timestamp issue that needs a repush. Recreated ticket INC0877704",Oracle-Alice-Item-MDM,2025-03-04 09:24:41,2025-03-16 02:00:03,Change related,"Closing after multiple reminders  Closing notes:  Fix deployed in production.  Please check and confirm on ticket closure.  Regards, Meet Meghani"
Revision sync issue,INC0903826,Item revision for part 10077424 did not push in EBS. Current Revision in PD is A while Revision pushed is 00-00The CCO was generated VIA Item WorkbenchPle,Oracle-Alice-Item-MDM,2025-03-04 11:12:57,2025-03-15 01:00:02,User/Training Issue,"Closing after multiple reminders  Closing notes: Hi,  Root-cause: The item 10077424 was pushed to rev A via NRCO-1016733 but the NRCO was not interfaced due to Integration issues. Later the NRCO was completed so the revision changed to A for the item in PD however it was still 00 in EBS.  Later this item was used in ItemWB which doesn't change revision of the item so it remained 00 in EBS.  Workar"
Order progression / holds,INC0934551,"Lines 17.1- 17.7 cannot be progressed, this is a buy-out and plant cannot generate PRs/PO for it and some of it are already shipping by the end of this month. I",OMCS-ERP-Alice-QTD,2025-05-14 11:43:18,2025-05-31 12:00:06,Known issue – no workaround,Issue :Lines 17.1- 17.7 cannot be progressed' Cause :Holds applied on the lines. Resolution: Able to progress the lines after removing the holds.
Autocreate config hold,INC0928344,EBS 1335698  line 1.1..0 has Autocreate Config Exception holds. Pls review and release.,Oracle-EBS-Alice-OSA-QTD,2025-04-30 08:23:09,2025-06-02 10:00:11,Known issue – no workaround,Issue Resolved.
Planning system issue,INC0933232,Please fix the TJ Hard pegging issue in Test and Production instance,Oracle-EBS-Alice-PTM,2025-05-12 14:28:10,2025-06-02 03:00:07,,No user response after 3 attempts. Incident auto resolved.
Warehouse/plant sync issue,INC0932356,"Hi, please assist to change the plant from 004 to plant 015. Unable to change it due to error. Please see attached image for your reference. Order #: 130912",OMCS-ERP-Alice-QTD,2025-05-09 14:12:00,2025-06-05 18:00:02,Configuration,"Hi Racquel,  As we discussed, This issue has been resolved hence we are closing this ticket.  Please let us know if you have any concerns.  Solution : Workaround was provided and issue has been resolved.  Best Regards, Vikram Raju"
CPQ/EBS submission failure,INC0979873,CPQ-944610_Unable to submit the order due to error,Oracle-EBS-Alice-QTD,2025-08-29 13:18:41,2025-09-06 12:00:05,Configuration,"Hello Melanie,   Quote CPQ-944610 has been submitted, and Order 1374888 has been created. Closing the incident as per user confirmation"
CCO creation inconsistency,INC0978839,"Referring to ticket INC0925593 submitted last April:I raised a ticket regarding the CCO creation issue where the CO was set back to Pending, but the CCO was",Oracle-Alice-Item-MDM,2025-08-27 05:05:25,2025-09-06 08:00:04,Closed/Resolved by Caller,Closed by Caller
Daily order processing outage,INC1008688,APPTREE_EVENT error in Oracle EBS,Oracle-EBS-Alice-OSA-PTM,2025-11-14 07:56:02,2025-11-23 10:00:04,Configuration,User validated and confirmed this issue is resolved.Hence closing the ticket.
Integration failure,INC0985051,"Information is not being transmitted from Oracle EBS to BluJay; examples of deliveries are 2764357, 2764356, 3764355 & 2764351",Oracle-EBS-Alice-OSA-PTM,2025-09-15 08:57:33,2025-09-18 11:00:02,Configuration,Now the issue is resolved. User validated and confirm. Hence closing the ticket.
Revenue/order lifecycle,INC0909168,I need the SO header for the following list of Projects to be re-opened. Changes need to be made for audit purposes.,OMCS-ERP-Alice-QTD,2025-03-17 09:19:48,2025-07-27 19:00:03,Configuration,We have sent multiple reminders but no response from user hence closing this ticket.
Receiving transaction stuck,INC0998890,"Receiving issue: DN 2351536 - Shows as 'pending to receive', after receiving and quantity now shows 0 instead of 2.Previous ticket # INC0985197",OMCS-ERP-Alice-PTM,2025-10-21 11:23:21,2025-11-29 10:00:08,Data Fix,"""Issue: Receiving issue for Delivery Note (DN) 2351536 - The status showed as """"Pending to Receive."""" After the user attempted to receive the items, the quantity displayed as 0 instead of 2.  Solution: The records were stuck in the RCV_INTERFACE table. We applied a data fix (SBM - 090351) to clear these records, and after that, the user was able to successfully complete the receiving process with"
