ITEM_NUMBER,DESCRIPTION,PD_REVISION,EBS_REVISION,CHANGE_ORDER,CO_TYPE,INTERFACE_STATUS,SYNCED_FLAG,NOTE,INCIDENT_NUMBER
10078286,Vertiv SmartCabinet2-E Integrated Edge Cabinet,D,D,CO-1068623,CO,INTERFACED,Y,,INC0903826
10078350,Liebert EXM2 100kW Three-Phase UPS,D,00,NRCO-1181922,NRCO,NOT_INTERFACED,N,ItemWB used after CO,INC0903771
10077577,Liebert PDX Compact DX Cooling 29kW,B,00,CO-1118500,CO,NOT_INTERFACED,N,,INC0978839
10080473,Liebert PSI5 1500VA Line-Interactive UPS 2U,A,A,NRCO-1175070,NRCO,INTERFACED,Y,,INC0899839
10077452,Vertiv Geist Rack Transfer Switch 1U 20A,A,A,NRCO-1078631,NRCO,INTERFACED,Y,,INC0899046
10078286,Vertiv SmartCabinet2-E Integrated Edge Cabinet,B,B,CCO-1031814,CCO,INTERFACED,Y,,INC0899788
10075284,Liebert CRV In-Row Cooling 35kW,B,00,ECO-1006890,ECO,NOT_INTERFACED,N,,
10075041P1,Liebert GXT5 1500VA Online UPS 2U,C,C,CCO-1160418,CCO,INTERFACED,Y,,
10074710,Vertiv SmartRow 2 Edge Data Centre,A,00,ECO-1137807,ECO,NOT_INTERFACED,N,,
10077173,Vertiv VR Rack 42U 600x1200mm,A,00,NRCO-1168385,NRCO,NOT_INTERFACED,N,,
10080473,Liebert PSI5 1500VA Line-Interactive UPS 2U,C,00,CCO-1033825,CCO,NOT_INTERFACED,N,,
10076460P1,Liebert ITA2 10kW Three-Phase UPS 208V,A,A,NRCO-1043163,NRCO,INTERFACED,Y,,
10078286,Vertiv SmartCabinet2-E Integrated Edge Cabinet,C,C,CCO-1090707,CCO,INTERFACED,Y,,
10078341P1,Liebert APM2 Modular Three-Phase UPS,C,C,NRCO-1051459,NRCO,INTERFACED,Y,,
10080072,Liebert GXT5 External Battery Cabinet 144V 2U,C,00,NRCO-1161068,NRCO,NOT_INTERFACED,N,,
10078341P1,Liebert APM2 Modular Three-Phase UPS,B,B,CCO-1044879,CCO,INTERFACED,Y,,
10073978P1,Liebert PSI5 3000VA Line-Interactive UPS 2U,C,C,CO-1007437,CO,INTERFACED,Y,,
10074710,Vertiv SmartRow 2 Edge Data Centre,A,A,NRCO-1170689,NRCO,INTERFACED,Y,,
10075284,Liebert CRV In-Row Cooling 35kW,D,D,CO-1130557,CO,INTERFACED,Y,,
10080072,Liebert GXT5 External Battery Cabinet 144V 2U,C,C,NRCO-1126601,NRCO,INTERFACED,Y,,
10073232,Liebert RDU501 Monitoring Gateway,D,00,CO-1180515,CO,NOT_INTERFACED,N,,
10080473,Liebert PSI5 1500VA Line-Interactive UPS 2U,D,D,CCO-1089179,CCO,INTERFACED,Y,,
10073978P1,Liebert PSI5 3000VA Line-Interactive UPS 2U,B,00,NRCO-1192466,NRCO,NOT_INTERFACED,N,ItemWB used after CO,
10077452,Vertiv Geist Rack Transfer Switch 1U 20A,D,00,NRCO-1134998,NRCO,NOT_INTERFACED,N,,
10075310P1,Liebert DSE Free-Cooling 100kW,B,B,NRCO-1117858,NRCO,INTERFACED,Y,,
10073232,Liebert RDU501 Monitoring Gateway,B,00,NRCO-1100702,NRCO,NOT_INTERFACED,N,ItemWB used after CO,
