SOURCE_NODE,EDGE_TYPE,TARGET_NODE,ATTRIBUTES
Item-MDM,SPANS_SYSTEM,AGILE_PD,
Item-MDM,SPANS_SYSTEM,ITEM_MDM,
Item-MDM,SPANS_SYSTEM,EBS,
QTD,SPANS_SYSTEM,CPQ,
QTD,SPANS_SYSTEM,EBS,
QTD,SPANS_SYSTEM,CLOUD2EBS_DROPSHIP,
PTM,SPANS_SYSTEM,EBS,
PTM,SPANS_SYSTEM,BLUJAY,
PTC,SPANS_SYSTEM,EBS,
Services,SPANS_SYSTEM,EBS,
RCA-01,RESOLVED_AT_SOURCE_BY,PFIX-01,
PFIX-01,TARGETS_SOURCE,ITEM_MDM,
RCA-02,RESOLVED_AT_SOURCE_BY,PFIX-02,
PFIX-02,TARGETS_SOURCE,AGILE_PD,
RCA-03,RESOLVED_AT_SOURCE_BY,PFIX-03,
PFIX-03,TARGETS_SOURCE,AGILE_PD,
RCA-04,RESOLVED_AT_SOURCE_BY,PFIX-04,
PFIX-04,TARGETS_SOURCE,EBS ONT,
RCA-05,RESOLVED_AT_SOURCE_BY,PFIX-05,
PFIX-05,TARGETS_SOURCE,EBS INV/PO,
RCA-06,RESOLVED_AT_SOURCE_BY,PFIX-06,
PFIX-06,TARGETS_SOURCE,EBS,
RCA-07,RESOLVED_AT_SOURCE_BY,PFIX-07,
PFIX-07,TARGETS_SOURCE,CPQ,
RCA-08,RESOLVED_AT_SOURCE_BY,PFIX-08,
PFIX-08,TARGETS_SOURCE,EBS (custom),
RCA-09,RESOLVED_AT_SOURCE_BY,PFIX-09,
PFIX-09,TARGETS_SOURCE,EBS ASCP/MRP,
RCA-10,RESOLVED_AT_SOURCE_BY,PFIX-10,
PFIX-10,TARGETS_SOURCE,EBS ONT/INV,
RCA-11,RESOLVED_AT_SOURCE_BY,PFIX-11,
PFIX-11,TARGETS_SOURCE,EBS ONT,
RCA-12,RESOLVED_AT_SOURCE_BY,PFIX-12,
PFIX-12,TARGETS_SOURCE,CLOUD2EBS_DROPSHIP,
RCA-13,RESOLVED_AT_SOURCE_BY,PFIX-13,
PFIX-13,TARGETS_SOURCE,EBS Projects/AR,
RCA-14,RESOLVED_AT_SOURCE_BY,PFIX-14,
PFIX-14,TARGETS_SOURCE,EBS Service Contracts,
RCA-AR1,RESOLVED_AT_SOURCE_BY,PFIX-AR1,
PFIX-AR1,TARGETS_SOURCE,EBS AR,
RCA-AP1,RESOLVED_AT_SOURCE_BY,PFIX-AP1,
PFIX-AP1,TARGETS_SOURCE,EBS AP/PO,
RCA-AP2,RESOLVED_AT_SOURCE_BY,PFIX-AP2,
PFIX-AP2,TARGETS_SOURCE,EBS AP/PO,
RCA-AP3,RESOLVED_AT_SOURCE_BY,PFIX-AP3,
PFIX-AP3,TARGETS_SOURCE,EBS AP,
PAT-REV-SYNC,HAS_ROOT_CAUSE,RCA-01,
PAT-REV-SYNC,IN_VALUE_STREAM,Item-MDM,
PAT-CCO,HAS_ROOT_CAUSE,RCA-02,
PAT-CCO,IN_VALUE_STREAM,Item-MDM,
PAT-CCB-REV,HAS_ROOT_CAUSE,RCA-03,
PAT-CCB-REV,IN_VALUE_STREAM,Item-MDM,
PAT-HOLD,HAS_ROOT_CAUSE,RCA-04,
PAT-HOLD,IN_VALUE_STREAM,QTD,
PAT-RCV,HAS_ROOT_CAUSE,RCA-05,
PAT-RCV,IN_VALUE_STREAM,PTM,
PAT-BLUJAY,HAS_ROOT_CAUSE,RCA-06,
PAT-BLUJAY,IN_VALUE_STREAM,PTM,
PAT-CPQ,HAS_ROOT_CAUSE,RCA-07,
PAT-CPQ,IN_VALUE_STREAM,QTD,
PAT-APPTREE,HAS_ROOT_CAUSE,RCA-08,
PAT-APPTREE,IN_VALUE_STREAM,PTM,
PAT-PEG,HAS_ROOT_CAUSE,RCA-09,
PAT-PEG,IN_VALUE_STREAM,PTM,
PAT-PLANT,HAS_ROOT_CAUSE,RCA-10,
PAT-PLANT,IN_VALUE_STREAM,QTD,
PAT-SOREOPEN,HAS_ROOT_CAUSE,RCA-11,
PAT-SOREOPEN,IN_VALUE_STREAM,QTD,
PAT-DROPSHIP,HAS_ROOT_CAUSE,RCA-12,
PAT-DROPSHIP,IN_VALUE_STREAM,QTD,
PAT-OBLIG,HAS_ROOT_CAUSE,RCA-13,
PAT-OBLIG,IN_VALUE_STREAM,PTC,
PAT-CONTRACT,HAS_ROOT_CAUSE,RCA-14,
PAT-CONTRACT,IN_VALUE_STREAM,Services,
PAT-AR-AUTOINV,HAS_ROOT_CAUSE,RCA-AR1,
PAT-AR-AUTOINV,IN_VALUE_STREAM,PTC,
PAT-AP-IMPORT,HAS_ROOT_CAUSE,RCA-AP1,
PAT-AP-IMPORT,IN_VALUE_STREAM,PTP,
PAT-AP-HOLD,HAS_ROOT_CAUSE,RCA-AP2,
PAT-AP-HOLD,IN_VALUE_STREAM,PTP,
INC0903771,IN_VALUE_STREAM,Item-MDM,
INC0903771,MATCHES_PATTERN,PAT-REV-SYNC,
INC0903771,CAUSED_BY,RCA-01,
INC0903771,RECURRENCE_OF,INC0877704,
INC0903826,IN_VALUE_STREAM,Item-MDM,
INC0903826,MATCHES_PATTERN,PAT-REV-SYNC,
INC0903826,CAUSED_BY,RCA-01,
INC0903826,RECURRENCE_OF,INC0877704,
INC0934551,IN_VALUE_STREAM,QTD,
INC0934551,MATCHES_PATTERN,PAT-HOLD,
INC0934551,CAUSED_BY,RCA-04,
INC0928344,IN_VALUE_STREAM,QTD,
INC0928344,MATCHES_PATTERN,PAT-HOLD,
INC0928344,CAUSED_BY,RCA-04,
INC0933232,IN_VALUE_STREAM,PTM,
INC0933232,MATCHES_PATTERN,PAT-PEG,
INC0933232,CAUSED_BY,RCA-09,
INC0932356,IN_VALUE_STREAM,QTD,
INC0932356,MATCHES_PATTERN,PAT-PLANT,
INC0932356,CAUSED_BY,RCA-10,
INC0979873,IN_VALUE_STREAM,QTD,
INC0979873,MATCHES_PATTERN,PAT-CPQ,
INC0979873,CAUSED_BY,RCA-07,
INC0978839,IN_VALUE_STREAM,Item-MDM,
INC0978839,MATCHES_PATTERN,PAT-CCO,
INC0978839,CAUSED_BY,RCA-02,
INC0978839,RECURRENCE_OF,INC0925593,
INC1008688,IN_VALUE_STREAM,PTM,
INC1008688,MATCHES_PATTERN,PAT-APPTREE,
INC1008688,CAUSED_BY,RCA-08,
INC0985051,IN_VALUE_STREAM,PTM,
INC0985051,MATCHES_PATTERN,PAT-BLUJAY,
INC0985051,CAUSED_BY,RCA-06,
INC0909168,IN_VALUE_STREAM,QTD,
INC0909168,MATCHES_PATTERN,PAT-SOREOPEN,
INC0909168,CAUSED_BY,RCA-11,
INC0998890,IN_VALUE_STREAM,PTM,
INC0998890,MATCHES_PATTERN,PAT-RCV,
INC0998890,CAUSED_BY,RCA-05,
INC0998890,RECURRENCE_OF,INC0985197,
INC0899046,IN_VALUE_STREAM,Item-MDM,
INC0899046,MATCHES_PATTERN,PAT-CCB-REV,
INC0899046,CAUSED_BY,RCA-03,
INC0899823,IN_VALUE_STREAM,QTD,
INC0899823,MATCHES_PATTERN,PAT-DROPSHIP,
INC0899823,CAUSED_BY,RCA-12,
INC0899936,IN_VALUE_STREAM,PTC,
