HEADER_ID,ORDER_NUMBER,LINE_NUMBER,ORG_ID,OPERATING_UNIT,HOLD_NAME,HOLD_TYPE_CODE,ITEM_NUMBER,HOLD_APPLIED_DATE,RELEASED_FLAG,CONDITION_CLEARED_FLAG,INCIDENT_NUMBER
7076106,150210,6.6,103,Vertiv APAC OU,Configuration Validation Hold,O,10073978P1,2025-11-11 09:00:00,N,N,INC0934551
7003718,140646,2.6,103,Vertiv APAC OU,Autocreate Config Exception,O,10075041P1,2025-06-21 09:00:00,N,Y,INC0928344
7083753,133969,16.6,101,Vertiv US OU,Margin Hold,O,10080388,2025-06-21 09:00:00,N,N,
7089783,183227,10.4,102,Vertiv EMEA OU,Export Compliance Hold,O,10074710,2025-02-06 09:00:00,N,N,
7026741,174589,20.2,102,Vertiv EMEA OU,Export Compliance Hold,O,10075310P1,2025-07-24 09:00:00,N,N,
7048567,197499,18.1,102,Vertiv EMEA OU,Export Compliance Hold,O,10075310P1,2025-05-15 09:00:00,N,N,
7018465,142689,2.3,101,Vertiv US OU,Buy-Out Hold,O,10072999P1,2025-11-14 09:00:00,N,N,
7075718,170988,7.7,101,Vertiv US OU,Credit Check Failure,O,10078286,2025-09-17 09:00:00,N,Y,
7065191,133037,3.4,102,Vertiv EMEA OU,Export Compliance Hold,O,10078341P1,2025-09-08 09:00:00,N,Y,
7006624,166877,16.5,101,Vertiv US OU,Margin Hold,O,10080072,2025-09-10 09:00:00,N,N,
7056482,147555,29.3,103,Vertiv APAC OU,Autocreate Config Exception,O,10077452,2025-08-12 09:00:00,N,Y,
7073638,155513,12.5,101,Vertiv US OU,Export Compliance Hold,O,10072992,2025-03-13 09:00:00,N,N,
7036663,211689,22.5,103,Vertiv APAC OU,Export Compliance Hold,O,10076238,2025-04-04 09:00:00,N,Y,
7044444,203116,12.7,102,Vertiv EMEA OU,Buy-Out Hold,O,10078669,2025-05-20 09:00:00,N,Y,
7005938,135100,5.6,103,Vertiv APAC OU,Export Compliance Hold,O,10075310P1,2025-09-17 09:00:00,N,Y,
7067568,148321,11.5,102,Vertiv EMEA OU,Credit Check Failure,O,10075310P1,2025-04-13 09:00:00,N,Y,
7077820,174089,17.7,103,Vertiv APAC OU,Configuration Validation Hold,O,10078341P1,2025-10-16 09:00:00,N,Y,
7002180,178281,11.6,103,Vertiv APAC OU,Margin Hold,O,10076238,2025-08-19 09:00:00,N,N,
7082478,133492,20.4,102,Vertiv EMEA OU,Configuration Validation Hold,O,10078350,2025-11-19 09:00:00,N,Y,
7062973,152349,17.6,101,Vertiv US OU,Configuration Validation Hold,O,10073978P1,2025-08-05 09:00:00,N,N,
