INTERFACE_TRANSACTION_ID,DELIVERY_NOTE,ITEM_NUMBER,EXPECTED_QTY,RECEIVED_QTY,RECEIPT_STATUS,PROCESSING_STATUS,NEEDS_DATA_FIX,INCIDENT_NUMBER
9018018,2302716,10080388,3,0,PENDING,ERROR,Y,INC0998890
9062350,2550320,10080072,4,0,PENDING,ERROR,Y,
9037649,2468384,10072992,1,0,PENDING,ERROR,Y,
9011725,2641992,10075041P1,4,0,PENDING,ERROR,Y,
9004888,2778795,10078286,7,0,PENDING,ERROR,Y,
9023040,2789644,10076460P1,7,0,PENDING,ERROR,Y,
9024420,2791052,10072992,1,0,PENDING,ERROR,Y,
9074443,2616031,10076238,6,5,TRANSACTED,SUCCESS,N,
9084058,2584845,10078341P1,8,0,PENDING,ERROR,Y,
9017589,2746200,10078341P1,8,0,PENDING,ERROR,Y,
9014764,2473373,10078286,8,5,TRANSACTED,SUCCESS,N,
9001846,2686199,10075310P1,5,0,PENDING,ERROR,Y,
9025318,2392009,10073978P1,7,0,PENDING,ERROR,Y,
9067538,2471928,10074710,7,0,PENDING,ERROR,Y,
9024219,2373721,10077577,6,0,PENDING,ERROR,Y,
9000895,2436726,10072999P1,4,0,PENDING,ERROR,Y,
