PROJECT_NUMBER,SALES_ORDER,OBLIGATION_ID,PERIOD_NAME,AMOUNT,REV_REC_STATUS,BLOCK_REASON,INCIDENT_NUMBER
211102,5013224,OBL-777849,JUN-25,203666.27,RECOGNIZED,,INC0899936
210797,5032077,OBL-705798,MAR-25,200338.45,BLOCKED,Agreement-SO mismatch,INC0909168
210924,5018367,OBL-766046,APR-25,109201.88,RECOGNIZED,,
215224,5075690,OBL-778370,APR-25,110422.3,BLOCKED,Obligation publishing error,
218540,5028972,OBL-754206,APR-25,127443.49,BLOCKED,Agreement-SO mismatch,
212869,5082050,OBL-788965,MAR-25,252353.55,BLOCKED,Obligation publishing error,
216244,5068742,OBL-741777,MAR-25,186675.33,BLOCKED,Revenue contingency not met,
218813,5062065,OBL-731584,MAY-25,138827.71,RECOGNIZED,,
217586,5007552,OBL-773713,MAR-25,435664.85,BLOCKED,Agreement-SO mismatch,
216363,5031831,OBL-733422,MAY-25,151967.03,BLOCKED,Obligation publishing error,
216079,5012119,OBL-770206,MAY-25,27933.8,BLOCKED,Revenue contingency not met,
210647,5009539,OBL-724662,MAY-25,218330.42,BLOCKED,Revenue contingency not met,
210251,5027762,OBL-724906,JUN-25,337361.26,RECOGNIZED,,
213974,5079220,OBL-726805,MAR-25,412231.27,BLOCKED,Agreement-SO mismatch,
